machine_id,timestamp,risk_level,failure_prob,alert_reason
5,2024-02-28 06:00:00,CRITICAL,0.8934,ML model predicts FAILURE (prob=89.3%) | ⚠ CRITICAL: Temperature=114.43°C | ⚠ CRITICAL: Vibration=2.0927 mm/s
5,2024-02-29 18:00:00,CRITICAL,0.8934,ML model predicts FAILURE (prob=89.3%) | ⚠ CRITICAL: Temperature=115.43°C | ⚠ CRITICAL: Vibration=2.1571 mm/s
2,2024-02-28 09:00:00,CRITICAL,0.8927,ML model predicts FAILURE (prob=89.3%) | ⚠ CRITICAL: Temperature=116.72°C | ⚠ CRITICAL: Vibration=2.0968 mm/s
2,2024-02-29 09:00:00,CRITICAL,0.8925,ML model predicts FAILURE (prob=89.2%) | ⚠ CRITICAL: Temperature=111.47°C | ⚠ CRITICAL: Vibration=2.1196 mm/s
4,2024-02-28 20:00:00,CRITICAL,0.8918,ML model predicts FAILURE (prob=89.2%) | ⚠ CRITICAL: Temperature=114.44°C | ⚠ CRITICAL: Vibration=2.3464 mm/s
4,2024-02-29 07:00:00,CRITICAL,0.8917,ML model predicts FAILURE (prob=89.2%) | ⚠ CRITICAL: Temperature=114.47°C | ⚠ CRITICAL: Vibration=2.3278 mm/s
1,2024-02-29 09:00:00,CRITICAL,0.8914,ML model predicts FAILURE (prob=89.1%) | ⚠ WARNING: Temperature=109.28°C | ⚠ CRITICAL: Vibration=2.359 mm/s
5,2024-02-27 19:00:00,CRITICAL,0.8909,ML model predicts FAILURE (prob=89.1%) | ⚠ CRITICAL: Temperature=110.43°C | ⚠ CRITICAL: Vibration=2.0349 mm/s
1,2024-02-29 05:00:00,CRITICAL,0.8904,ML model predicts FAILURE (prob=89.0%) | ⚠ WARNING: Temperature=105.57°C | ⚠ CRITICAL: Vibration=2.2751 mm/s
3,2024-02-24 18:00:00,CRITICAL,0.8896,ML model predicts FAILURE (prob=89.0%) | ⚠ CRITICAL: Temperature=115.53°C | ⚠ CRITICAL: Vibration=2.0877 mm/s
3,2024-02-27 07:00:00,CRITICAL,0.8893,ML model predicts FAILURE (prob=88.9%) | ⚠ CRITICAL: Temperature=115.47°C | ⚠ CRITICAL: Vibration=2.1248 mm/s
4,2024-02-27 11:00:00,CRITICAL,0.8893,ML model predicts FAILURE (prob=88.9%) | ⚠ CRITICAL: Temperature=111.83°C | ⚠ CRITICAL: Vibration=2.178 mm/s
1,2024-02-29 02:00:00,CRITICAL,0.8888,ML model predicts FAILURE (prob=88.9%) | ⚠ WARNING: Temperature=103.4°C | ⚠ CRITICAL: Vibration=2.3255 mm/s
4,2024-02-27 18:00:00,CRITICAL,0.8885,ML model predicts FAILURE (prob=88.8%) | ⚠ CRITICAL: Temperature=111.5°C | ⚠ CRITICAL: Vibration=2.1812 mm/s
2,2024-02-28 15:00:00,CRITICAL,0.8882,ML model predicts FAILURE (prob=88.8%) | ⚠ CRITICAL: Temperature=115.92°C | ⚠ CRITICAL: Vibration=2.0812 mm/s
5,2024-02-29 14:00:00,CRITICAL,0.888,ML model predicts FAILURE (prob=88.8%) | ⚠ CRITICAL: Temperature=114.68°C | ⚠ CRITICAL: Vibration=2.2635 mm/s
5,2024-02-28 09:00:00,CRITICAL,0.8878,ML model predicts FAILURE (prob=88.8%) | ⚠ CRITICAL: Temperature=111.46°C | ⚠ CRITICAL: Vibration=2.0464 mm/s
2,2024-02-28 20:00:00,CRITICAL,0.8876,ML model predicts FAILURE (prob=88.8%) | ⚠ CRITICAL: Temperature=113.35°C | ⚠ CRITICAL: Vibration=2.138 mm/s
5,2024-02-25 16:00:00,CRITICAL,0.8874,ML model predicts FAILURE (prob=88.7%) | ⚠ CRITICAL: Temperature=110.2°C | ⚠ CRITICAL: Vibration=2.0078 mm/s
2,2024-02-29 11:00:00,CRITICAL,0.8872,ML model predicts FAILURE (prob=88.7%) | ⚠ CRITICAL: Temperature=116.61°C | ⚠ CRITICAL: Vibration=2.1925 mm/s
2,2024-02-29 08:00:00,CRITICAL,0.8872,ML model predicts FAILURE (prob=88.7%) | ⚠ CRITICAL: Temperature=111.84°C | ⚠ CRITICAL: Vibration=2.1796 mm/s
3,2024-02-25 11:00:00,CRITICAL,0.887,ML model predicts FAILURE (prob=88.7%) | ⚠ CRITICAL: Temperature=112.81°C | ⚠ CRITICAL: Vibration=2.01 mm/s
4,2024-02-27 20:00:00,CRITICAL,0.8868,ML model predicts FAILURE (prob=88.7%) | ⚠ CRITICAL: Temperature=110.27°C | ⚠ CRITICAL: Vibration=2.21 mm/s
5,2024-02-29 19:00:00,CRITICAL,0.8868,ML model predicts FAILURE (prob=88.7%) | ⚠ CRITICAL: Temperature=113.94°C | ⚠ CRITICAL: Vibration=2.2052 mm/s
1,2024-02-28 21:00:00,CRITICAL,0.8868,ML model predicts FAILURE (prob=88.7%) | ⚠ WARNING: Temperature=105.3°C | ⚠ CRITICAL: Vibration=2.3142 mm/s
2,2024-02-26 13:00:00,CRITICAL,0.8864,ML model predicts FAILURE (prob=88.6%) | ⚠ CRITICAL: Temperature=110.15°C | ⚠ CRITICAL: Vibration=2.0515 mm/s
5,2024-02-28 07:00:00,CRITICAL,0.8863,ML model predicts FAILURE (prob=88.6%) | ⚠ CRITICAL: Temperature=112.77°C | ⚠ CRITICAL: Vibration=2.1013 mm/s
3,2024-02-29 04:00:00,CRITICAL,0.8861,ML model predicts FAILURE (prob=88.6%) | ⚠ CRITICAL: Temperature=116.74°C | ⚠ CRITICAL: Vibration=2.1965 mm/s
3,2024-02-28 06:00:00,CRITICAL,0.886,ML model predicts FAILURE (prob=88.6%) | ⚠ CRITICAL: Temperature=113.84°C | ⚠ CRITICAL: Vibration=2.1639 mm/s
1,2024-02-26 18:00:00,CRITICAL,0.886,ML model predicts FAILURE (prob=88.6%) | ⚠ WARNING: Temperature=105.62°C | ⚠ CRITICAL: Vibration=2.2362 mm/s
4,2024-02-27 19:00:00,CRITICAL,0.8856,ML model predicts FAILURE (prob=88.6%) | ⚠ CRITICAL: Temperature=110.34°C | ⚠ CRITICAL: Vibration=2.2881 mm/s
3,2024-02-29 20:00:00,CRITICAL,0.8856,ML model predicts FAILURE (prob=88.6%) | ⚠ CRITICAL: Temperature=116.34°C | ⚠ CRITICAL: Vibration=2.2159 mm/s
5,2024-02-29 15:00:00,CRITICAL,0.8854,ML model predicts FAILURE (prob=88.5%) | ⚠ CRITICAL: Temperature=114.67°C | ⚠ CRITICAL: Vibration=2.0675 mm/s
1,2024-02-28 10:00:00,CRITICAL,0.8852,ML model predicts FAILURE (prob=88.5%) | ⚠ WARNING: Temperature=100.29°C | ⚠ CRITICAL: Vibration=2.2361 mm/s
5,2024-02-28 20:00:00,CRITICAL,0.8851,ML model predicts FAILURE (prob=88.5%) | ⚠ CRITICAL: Temperature=110.75°C | ⚠ CRITICAL: Vibration=2.1062 mm/s
5,2024-02-29 23:00:00,CRITICAL,0.885,ML model predicts FAILURE (prob=88.5%) | ⚠ CRITICAL: Temperature=114.2°C | ⚠ CRITICAL: Vibration=2.1789 mm/s
1,2024-02-29 14:00:00,CRITICAL,0.8849,ML model predicts FAILURE (prob=88.5%) | ⚠ WARNING: Temperature=105.85°C | ⚠ CRITICAL: Vibration=2.4096 mm/s
4,2024-02-29 15:00:00,CRITICAL,0.8848,ML model predicts FAILURE (prob=88.5%) | ⚠ CRITICAL: Temperature=113.08°C | ⚠ CRITICAL: Vibration=2.3102 mm/s
4,2024-02-29 19:00:00,CRITICAL,0.8848,ML model predicts FAILURE (prob=88.5%) | ⚠ CRITICAL: Temperature=114.4°C | ⚠ CRITICAL: Vibration=2.3318 mm/s
1,2024-02-29 13:00:00,CRITICAL,0.8844,ML model predicts FAILURE (prob=88.4%) | ⚠ WARNING: Temperature=104.16°C | ⚠ CRITICAL: Vibration=2.4195 mm/s
5,2024-02-27 07:00:00,CRITICAL,0.8843,ML model predicts FAILURE (prob=88.4%) | ⚠ WARNING: Temperature=108.54°C | ⚠ CRITICAL: Vibration=2.0307 mm/s
1,2024-02-29 06:00:00,CRITICAL,0.8842,ML model predicts FAILURE (prob=88.4%) | ⚠ WARNING: Temperature=104.61°C | ⚠ CRITICAL: Vibration=2.3726 mm/s
3,2024-02-25 08:00:00,CRITICAL,0.8839,ML model predicts FAILURE (prob=88.4%) | ⚠ CRITICAL: Temperature=115.6°C | ⚠ CRITICAL: Vibration=2.0617 mm/s
1,2024-02-24 17:00:00,CRITICAL,0.8836,ML model predicts FAILURE (prob=88.4%) | ⚠ WARNING: Temperature=100.83°C | ⚠ CRITICAL: Vibration=2.1472 mm/s
5,2024-02-28 03:00:00,CRITICAL,0.8833,ML model predicts FAILURE (prob=88.3%) | ⚠ CRITICAL: Temperature=111.92°C | ⚠ CRITICAL: Vibration=2.0485 mm/s
1,2024-02-29 12:00:00,CRITICAL,0.8831,ML model predicts FAILURE (prob=88.3%) | ⚠ WARNING: Temperature=106.22°C | ⚠ CRITICAL: Vibration=2.3405 mm/s
5,2024-02-27 10:00:00,CRITICAL,0.8827,ML model predicts FAILURE (prob=88.3%) | ⚠ CRITICAL: Temperature=110.04°C | ⚠ CRITICAL: Vibration=2.113 mm/s
5,2024-02-28 00:00:00,CRITICAL,0.8826,ML model predicts FAILURE (prob=88.3%) | ⚠ CRITICAL: Temperature=112.15°C | ⚠ CRITICAL: Vibration=2.0965 mm/s
3,2024-02-24 10:00:00,CRITICAL,0.8823,ML model predicts FAILURE (prob=88.2%) | ⚠ CRITICAL: Temperature=114.66°C | ⚠ CRITICAL: Vibration=2.0293 mm/s
1,2024-02-25 06:00:00,CRITICAL,0.8822,ML model predicts FAILURE (prob=88.2%) | ⚠ WARNING: Temperature=97.4°C | ⚠ CRITICAL: Vibration=2.1349 mm/s
2,2024-02-28 08:00:00,CRITICAL,0.882,ML model predicts FAILURE (prob=88.2%) | ⚠ CRITICAL: Temperature=112.86°C | ⚠ CRITICAL: Vibration=2.0463 mm/s
3,2024-02-25 03:00:00,CRITICAL,0.8816,ML model predicts FAILURE (prob=88.2%) | ⚠ WARNING: Temperature=108.32°C | ⚠ CRITICAL: Vibration=2.0339 mm/s
2,2024-02-27 00:00:00,CRITICAL,0.8816,ML model predicts FAILURE (prob=88.2%) | ⚠ CRITICAL: Temperature=112.26°C | ⚠ CRITICAL: Vibration=2.09 mm/s
5,2024-02-29 11:00:00,CRITICAL,0.8812,ML model predicts FAILURE (prob=88.1%) | ⚠ CRITICAL: Temperature=117.27°C | ⚠ CRITICAL: Vibration=2.1402 mm/s
3,2024-02-23 22:00:00,CRITICAL,0.881,ML model predicts FAILURE (prob=88.1%) | ⚠ CRITICAL: Temperature=114.3°C
4,2024-02-28 07:00:00,CRITICAL,0.8807,ML model predicts FAILURE (prob=88.1%) | ⚠ CRITICAL: Temperature=116.08°C | ⚠ CRITICAL: Vibration=2.2668 mm/s
2,2024-02-28 17:00:00,CRITICAL,0.8807,ML model predicts FAILURE (prob=88.1%) | ⚠ CRITICAL: Temperature=114.96°C | ⚠ CRITICAL: Vibration=2.0937 mm/s
5,2024-02-25 10:00:00,CRITICAL,0.8804,ML model predicts FAILURE (prob=88.0%) | ⚠ CRITICAL: Temperature=110.73°C
5,2024-02-28 04:00:00,CRITICAL,0.8798,ML model predicts FAILURE (prob=88.0%) | ⚠ CRITICAL: Temperature=113.07°C | ⚠ CRITICAL: Vibration=2.0871 mm/s
1,2024-02-20 10:00:00,CRITICAL,0.8798,ML model predicts FAILURE (prob=88.0%)
2,2024-02-26 09:00:00,CRITICAL,0.8793,ML model predicts FAILURE (prob=87.9%) | ⚠ CRITICAL: Temperature=110.9°C
3,2024-02-27 13:00:00,CRITICAL,0.8793,ML model predicts FAILURE (prob=87.9%) | ⚠ CRITICAL: Temperature=116.8°C | ⚠ CRITICAL: Vibration=2.2152 mm/s
2,2024-02-28 03:00:00,CRITICAL,0.8793,ML model predicts FAILURE (prob=87.9%) | ⚠ CRITICAL: Temperature=114.67°C | ⚠ CRITICAL: Vibration=2.1302 mm/s
4,2024-02-27 06:00:00,CRITICAL,0.8789,ML model predicts FAILURE (prob=87.9%) | ⚠ CRITICAL: Temperature=110.82°C | ⚠ CRITICAL: Vibration=2.2458 mm/s
2,2024-02-27 06:00:00,CRITICAL,0.8788,ML model predicts FAILURE (prob=87.9%) | ⚠ CRITICAL: Temperature=112.33°C | ⚠ CRITICAL: Vibration=2.0582 mm/s
3,2024-02-26 06:00:00,CRITICAL,0.8787,ML model predicts FAILURE (prob=87.9%) | ⚠ CRITICAL: Temperature=111.66°C | ⚠ CRITICAL: Vibration=2.0601 mm/s
2,2024-02-28 12:00:00,CRITICAL,0.8782,ML model predicts FAILURE (prob=87.8%) | ⚠ CRITICAL: Temperature=113.98°C | ⚠ CRITICAL: Vibration=2.1773 mm/s
4,2024-02-29 03:00:00,CRITICAL,0.8782,ML model predicts FAILURE (prob=87.8%) | ⚠ CRITICAL: Temperature=113.19°C | ⚠ CRITICAL: Vibration=2.3317 mm/s
5,2024-02-25 08:00:00,CRITICAL,0.8781,ML model predicts FAILURE (prob=87.8%) | ⚠ WARNING: Temperature=109.11°C
3,2024-02-24 02:00:00,CRITICAL,0.8777,ML model predicts FAILURE (prob=87.8%) | ⚠ CRITICAL: Temperature=114.31°C
1,2024-02-28 14:00:00,CRITICAL,0.8776,ML model predicts FAILURE (prob=87.8%) | ⚠ WARNING: Temperature=104.54°C | ⚠ CRITICAL: Vibration=2.3095 mm/s
2,2024-02-27 07:00:00,CRITICAL,0.8768,ML model predicts FAILURE (prob=87.7%) | ⚠ CRITICAL: Temperature=111.69°C | ⚠ CRITICAL: Vibration=2.0966 mm/s
4,2024-02-23 17:00:00,CRITICAL,0.8767,ML model predicts FAILURE (prob=87.7%) | ⚠ WARNING: Temperature=107.04°C | ⚠ CRITICAL: Vibration=2.0216 mm/s
1,2024-02-28 03:00:00,CRITICAL,0.8766,ML model predicts FAILURE (prob=87.7%) | ⚠ WARNING: Temperature=102.57°C | ⚠ CRITICAL: Vibration=2.2944 mm/s
3,2024-02-29 19:00:00,CRITICAL,0.8764,ML model predicts FAILURE (prob=87.6%) | ⚠ CRITICAL: Temperature=114.86°C | ⚠ CRITICAL: Vibration=2.3953 mm/s
4,2024-02-25 16:00:00,CRITICAL,0.8764,ML model predicts FAILURE (prob=87.6%) | ⚠ WARNING: Temperature=107.1°C | ⚠ CRITICAL: Vibration=2.0771 mm/s
5,2024-02-27 03:00:00,CRITICAL,0.8762,ML model predicts FAILURE (prob=87.6%) | ⚠ WARNING: Temperature=108.18°C | ⚠ CRITICAL: Vibration=2.0305 mm/s
2,2024-02-28 16:00:00,CRITICAL,0.8753,ML model predicts FAILURE (prob=87.5%) | ⚠ CRITICAL: Temperature=114.15°C | ⚠ CRITICAL: Vibration=2.0563 mm/s
5,2024-02-28 02:00:00,CRITICAL,0.8749,ML model predicts FAILURE (prob=87.5%) | ⚠ CRITICAL: Temperature=110.07°C | ⚠ CRITICAL: Vibration=2.1068 mm/s
3,2024-02-26 16:00:00,CRITICAL,0.8748,ML model predicts FAILURE (prob=87.5%) | ⚠ CRITICAL: Temperature=114.15°C | ⚠ CRITICAL: Vibration=2.0681 mm/s
5,2024-02-27 16:00:00,CRITICAL,0.8743,ML model predicts FAILURE (prob=87.4%) | ⚠ WARNING: Temperature=109.1°C | ⚠ CRITICAL: Vibration=2.089 mm/s
3,2024-02-24 20:00:00,CRITICAL,0.8743,ML model predicts FAILURE (prob=87.4%) | ⚠ CRITICAL: Temperature=112.75°C | ⚠ CRITICAL: Vibration=2.0699 mm/s
2,2024-02-18 00:00:00,CRITICAL,0.8736,ML model predicts FAILURE (prob=87.4%) | ⚠ WARNING: Temperature=99.14°C
3,2024-02-28 07:00:00,CRITICAL,0.8736,ML model predicts FAILURE (prob=87.4%) | ⚠ CRITICAL: Temperature=115.39°C | ⚠ CRITICAL: Vibration=2.2143 mm/s
4,2024-02-29 08:00:00,CRITICAL,0.8734,ML model predicts FAILURE (prob=87.3%) | ⚠ CRITICAL: Temperature=111.33°C | ⚠ CRITICAL: Vibration=2.3618 mm/s
4,2024-02-28 12:00:00,CRITICAL,0.8733,ML model predicts FAILURE (prob=87.3%) | ⚠ CRITICAL: Temperature=110.58°C | ⚠ CRITICAL: Vibration=2.2692 mm/s
4,2024-02-28 14:00:00,CRITICAL,0.873,ML model predicts FAILURE (prob=87.3%) | ⚠ CRITICAL: Temperature=111.96°C | ⚠ CRITICAL: Vibration=2.3472 mm/s
1,2024-02-15 04:00:00,CRITICAL,0.8729,ML model predicts FAILURE (prob=87.3%)
5,2024-02-28 05:00:00,CRITICAL,0.8727,ML model predicts FAILURE (prob=87.3%) | ⚠ CRITICAL: Temperature=110.28°C | ⚠ CRITICAL: Vibration=2.1387 mm/s
1,2024-02-20 16:00:00,CRITICAL,0.8722,ML model predicts FAILURE (prob=87.2%) | ⚠ WARNING: Temperature=98.02°C
4,2024-02-27 07:00:00,CRITICAL,0.8722,ML model predicts FAILURE (prob=87.2%) | ⚠ CRITICAL: Temperature=110.3°C | ⚠ CRITICAL: Vibration=2.2276 mm/s
3,2024-02-26 15:00:00,CRITICAL,0.872,ML model predicts FAILURE (prob=87.2%) | ⚠ CRITICAL: Temperature=116.02°C | ⚠ CRITICAL: Vibration=2.1049 mm/s
5,2024-02-25 13:00:00,CRITICAL,0.872,ML model predicts FAILURE (prob=87.2%) | ⚠ WARNING: Temperature=108.15°C
3,2024-02-24 06:00:00,CRITICAL,0.8716,ML model predicts FAILURE (prob=87.2%) | ⚠ WARNING: Temperature=109.42°C
5,2024-02-25 11:00:00,CRITICAL,0.8714,ML model predicts FAILURE (prob=87.1%) | ⚠ WARNING: Temperature=105.67°C
2,2024-02-27 13:00:00,CRITICAL,0.8713,ML model predicts FAILURE (prob=87.1%) | ⚠ CRITICAL: Temperature=115.32°C
5,2024-02-29 05:00:00,CRITICAL,0.8711,ML model predicts FAILURE (prob=87.1%) | ⚠ CRITICAL: Temperature=112.4°C | ⚠ CRITICAL: Vibration=2.2073 mm/s
3,2024-02-15 22:00:00,CRITICAL,0.8708,ML model predicts FAILURE (prob=87.1%) | ⚠ WARNING: Temperature=106.3°C
5,2024-02-29 09:00:00,CRITICAL,0.8708,ML model predicts FAILURE (prob=87.1%) | ⚠ CRITICAL: Temperature=113.6°C | ⚠ CRITICAL: Vibration=2.0604 mm/s
3,2024-02-29 18:00:00,CRITICAL,0.8707,ML model predicts FAILURE (prob=87.1%) | ⚠ CRITICAL: Temperature=114.7°C | ⚠ CRITICAL: Vibration=2.2733 mm/s
4,2024-02-28 15:00:00,CRITICAL,0.87,ML model predicts FAILURE (prob=87.0%) | ⚠ CRITICAL: Temperature=110.92°C | ⚠ CRITICAL: Vibration=2.33 mm/s
1,2024-02-20 03:00:00,CRITICAL,0.8697,ML model predicts FAILURE (prob=87.0%)
3,2024-02-25 17:00:00,CRITICAL,0.8695,ML model predicts FAILURE (prob=87.0%) | ⚠ CRITICAL: Temperature=112.44°C | ⚠ CRITICAL: Vibration=2.0738 mm/s
5,2024-02-25 17:00:00,CRITICAL,0.8693,ML model predicts FAILURE (prob=86.9%) | ⚠ WARNING: Temperature=109.91°C | ⚠ CRITICAL: Vibration=2.006 mm/s
4,2024-02-24 11:00:00,CRITICAL,0.8691,ML model predicts FAILURE (prob=86.9%) | ⚠ WARNING: Temperature=106.62°C | ⚠ CRITICAL: Vibration=2.1525 mm/s
3,2024-02-23 18:00:00,CRITICAL,0.8689,ML model predicts FAILURE (prob=86.9%) | ⚠ CRITICAL: Temperature=110.31°C | ⚠ CRITICAL: Vibration=2.0643 mm/s
3,2024-02-25 01:00:00,CRITICAL,0.8687,ML model predicts FAILURE (prob=86.9%) | ⚠ CRITICAL: Temperature=117.74°C
1,2024-02-20 19:00:00,CRITICAL,0.8686,ML model predicts FAILURE (prob=86.9%) | ⚠ WARNING: Temperature=95.88°C
4,2024-02-25 14:00:00,CRITICAL,0.8685,ML model predicts FAILURE (prob=86.9%) | ⚠ WARNING: Temperature=109.28°C | ⚠ CRITICAL: Vibration=2.1316 mm/s
4,2024-02-25 22:00:00,CRITICAL,0.8683,ML model predicts FAILURE (prob=86.8%) | ⚠ WARNING: Temperature=108.12°C | ⚠ CRITICAL: Vibration=2.0484 mm/s
1,2024-02-27 07:00:00,CRITICAL,0.8682,ML model predicts FAILURE (prob=86.8%) | ⚠ WARNING: Temperature=101.52°C | ⚠ CRITICAL: Vibration=2.3103 mm/s
5,2024-02-24 16:00:00,CRITICAL,0.8681,ML model predicts FAILURE (prob=86.8%) | ⚠ WARNING: Temperature=107.84°C
2,2024-02-25 10:00:00,CRITICAL,0.8672,ML model predicts FAILURE (prob=86.7%) | ⚠ CRITICAL: Temperature=111.73°C
4,2024-02-17 15:00:00,CRITICAL,0.8671,ML model predicts FAILURE (prob=86.7%) | ⚠ WARNING: Temperature=101.4°C
2,2024-02-29 16:00:00,CRITICAL,0.8662,ML model predicts FAILURE (prob=86.6%) | ⚠ CRITICAL: Temperature=116.77°C | ⚠ CRITICAL: Vibration=2.1315 mm/s
5,2024-02-25 20:00:00,CRITICAL,0.866,ML model predicts FAILURE (prob=86.6%) | ⚠ WARNING: Temperature=107.48°C
5,2024-02-27 14:00:00,CRITICAL,0.8658,ML model predicts FAILURE (prob=86.6%) | ⚠ CRITICAL: Temperature=112.57°C | ⚠ CRITICAL: Vibration=2.0492 mm/s
3,2024-02-27 18:00:00,CRITICAL,0.8657,ML model predicts FAILURE (prob=86.6%) | ⚠ CRITICAL: Temperature=113.98°C | ⚠ CRITICAL: Vibration=2.1561 mm/s
4,2024-02-25 11:00:00,CRITICAL,0.8656,ML model predicts FAILURE (prob=86.6%) | ⚠ WARNING: Temperature=109.04°C | ⚠ CRITICAL: Vibration=2.0546 mm/s
4,2024-02-29 06:00:00,CRITICAL,0.8653,ML model predicts FAILURE (prob=86.5%) | ⚠ CRITICAL: Temperature=112.94°C | ⚠ CRITICAL: Vibration=2.2596 mm/s
2,2024-02-29 04:00:00,CRITICAL,0.8652,ML model predicts FAILURE (prob=86.5%) | ⚠ CRITICAL: Temperature=115.07°C | ⚠ CRITICAL: Vibration=2.227 mm/s
5,2024-02-27 00:00:00,CRITICAL,0.8649,ML model predicts FAILURE (prob=86.5%) | ⚠ WARNING: Temperature=108.2°C | ⚠ CRITICAL: Vibration=2.097 mm/s
1,2024-02-29 10:00:00,CRITICAL,0.8647,ML model predicts FAILURE (prob=86.5%) | ⚠ WARNING: Temperature=106.74°C | ⚠ CRITICAL: Vibration=2.5401 mm/s
5,2024-02-27 13:00:00,CRITICAL,0.8646,ML model predicts FAILURE (prob=86.5%) | ⚠ WARNING: Temperature=109.03°C | ⚠ CRITICAL: Vibration=2.044 mm/s
2,2024-02-28 14:00:00,CRITICAL,0.8643,ML model predicts FAILURE (prob=86.4%) | ⚠ CRITICAL: Temperature=116.04°C | ⚠ CRITICAL: Vibration=2.0546 mm/s
3,2024-02-25 12:00:00,CRITICAL,0.8642,ML model predicts FAILURE (prob=86.4%) | ⚠ CRITICAL: Temperature=115.84°C | ⚠ CRITICAL: Vibration=2.0029 mm/s
1,2024-02-20 09:00:00,CRITICAL,0.864,ML model predicts FAILURE (prob=86.4%)
3,2024-02-27 08:00:00,CRITICAL,0.864,ML model predicts FAILURE (prob=86.4%) | ⚠ CRITICAL: Temperature=115.12°C | ⚠ CRITICAL: Vibration=2.0271 mm/s
5,2024-02-25 14:00:00,CRITICAL,0.8637,ML model predicts FAILURE (prob=86.4%) | ⚠ WARNING: Temperature=106.41°C
3,2024-02-19 22:00:00,CRITICAL,0.8633,ML model predicts FAILURE (prob=86.3%) | ⚠ WARNING: Temperature=104.65°C
2,2024-02-25 09:00:00,CRITICAL,0.8632,ML model predicts FAILURE (prob=86.3%) | ⚠ CRITICAL: Temperature=111.8°C
1,2024-02-28 06:00:00,CRITICAL,0.8623,ML model predicts FAILURE (prob=86.2%) | ⚠ WARNING: Temperature=103.7°C | ⚠ CRITICAL: Vibration=2.226 mm/s
1,2024-02-28 19:00:00,CRITICAL,0.8622,ML model predicts FAILURE (prob=86.2%) | ⚠ WARNING: Temperature=98.99°C | ⚠ CRITICAL: Vibration=2.2443 mm/s
4,2024-02-29 20:00:00,CRITICAL,0.8622,ML model predicts FAILURE (prob=86.2%) | ⚠ CRITICAL: Temperature=118.38°C | ⚠ CRITICAL: Vibration=2.3875 mm/s
2,2024-02-18 10:00:00,CRITICAL,0.8622,ML model predicts FAILURE (prob=86.2%) | ⚠ WARNING: Temperature=103.28°C
1,2024-02-24 16:00:00,CRITICAL,0.8621,ML model predicts FAILURE (prob=86.2%) | ⚠ WARNING: Temperature=97.34°C | ⚠ CRITICAL: Vibration=2.0483 mm/s
4,2024-02-22 21:00:00,CRITICAL,0.8621,ML model predicts FAILURE (prob=86.2%) | ⚠ WARNING: Temperature=107.92°C
5,2024-02-27 15:00:00,CRITICAL,0.8618,ML model predicts FAILURE (prob=86.2%) | ⚠ WARNING: Temperature=108.15°C | ⚠ CRITICAL: Vibration=2.1192 mm/s
1,2024-02-24 10:00:00,CRITICAL,0.8613,ML model predicts FAILURE (prob=86.1%) | ⚠ WARNING: Temperature=102.26°C | ⚠ CRITICAL: Vibration=2.136 mm/s
1,2024-02-17 05:00:00,CRITICAL,0.8612,ML model predicts FAILURE (prob=86.1%)
1,2024-02-27 11:00:00,CRITICAL,0.8608,ML model predicts FAILURE (prob=86.1%) | ⚠ WARNING: Temperature=101.01°C | ⚠ CRITICAL: Vibration=2.257 mm/s
3,2024-02-23 05:00:00,CRITICAL,0.8608,ML model predicts FAILURE (prob=86.1%) | ⚠ CRITICAL: Temperature=110.19°C
